Source,United States,United Kingdom,Canada,India,Australia,Others
The Verge,47.39,5.15,4.43,2.91,2.65,37.47
IGN,36.93,6.62,5.71, ,2.99,47.75
CNET,57.22,2.97,4.62,3.61,,31.58
GameSpot,38.73,5.73,5.84,,2.59,47.11
Digital Foundry,,,,,,100
Forbes,61,4.82,4.98,3.22,2.66,23.32
TechCrunch,46.13,4.54,3.64,5.61,,40.08
Bloomberg,46.77,5.88,4.93,3.28,2.26,36.88
Engadget,50.04,5.16,5.43,,2.2,37.17
GamesRadar,30.64,7.27,6.4,2.52,3.12,50.05
Wired,53.58,4.92,5.01,2.92,3.02,30.55
Tom's Hardware,31.93,4.81,5.09,2.68,2.99,52.5
Polygon,42.4,5.46,5.77,,3.43,42.94
Eurogamer,21.48,15.89,4.02,,2.78,55.83
TechSpot,21.17,5.32,3.97,7.06,,62.48
UploadVR,40.09,8.08,7.12,,3.74,40.97
Kotaku,46.44,5.24,7.96,,,40.36
IGN,36.93,6.62,5.71, ,2.99,47.75
PCMag,51.38,6.69,6.2,2.68,3.96,29.09
GreenTech,,,,,,100
VentureBeat,37.11,5.46,3.69,5.23,,48.51
